GeoName,Education,Age,Sex,Industry,Median Income
Canada,Master's degree,45 to 59 years,Female,Engineering and engineering technology,87626
Canada,Master's degree,45 to 59 years,Female,Mathematics and computer and information science,84201
Canada,Master's degree,45 to 59 years,Female,Business and administration,101859
Canada,Master's degree,45 to 59 years,Female,Arts and humanities,68265
Canada,Master's degree,45 to 59 years,Female,Social and behavioural sciences,79267
Canada,Master's degree,45 to 59 years,Female,Legal professions and studies,121990
Canada,Master's degree,45 to 59 years,Female,Health care,96333
Canada,Master's degree,45 to 59 years,Female,Education and teaching,89844
Canada,Master's degree,45 to 59 years,Female,"Trades, services, natural resources and conservation",83394
Canada,Master's degree,60 years and over,Female,Science and science technology,80161
Canada,Master's degree,60 years and over,Female,Engineering and engineering technology,77406
Canada,Master's degree,60 years and over,Female,Mathematics and computer and information science,88792
Canada,Master's degree,60 years and over,Female,Business and administration,96789
Canada,Master's degree,60 years and over,Female,Arts and humanities,65062
Canada,Master's degree,60 years and over,Female,Social and behavioural sciences,73695
Canada,Master's degree,60 years and over,Female,Legal professions and studies,144051
Canada,Master's degree,60 years and over,Female,Health care,98699
Canada,Master's degree,60 years and over,Female,Education and teaching,86976
Canada,Master's degree,60 years and over,Female,"Trades, services, natural resources and conservation",83551
Canada,Earned doctorate,15 to 29 years,Male,Science and science technology,24818
Canada,Earned doctorate,15 to 29 years,Male,Engineering and engineering technology,26329
Canada,Earned doctorate,15 to 29 years,Male,Mathematics and computer and information science,43185
Canada,Earned doctorate,15 to 29 years,Male,Business and administration,0
Canada,Earned doctorate,15 to 29 years,Male,Arts and humanities,0
Canada,Earned doctorate,15 to 29 years,Male,Social and behavioural sciences,28930
Canada,Earned doctorate,15 to 29 years,Male,Legal professions and studies,76578
Canada,Earned doctorate,15 to 29 years,Male,Health care,84632
Canada,Earned doctorate,15 to 29 years,Male,Education and teaching,0
Canada,Earned doctorate,15 to 29 years,Male,"Trades, services, natural resources and conservation",0
Canada,Earned doctorate,30 to 44 years,Male,Science and science technology,79129
Canada,Earned doctorate,30 to 44 years,Male,Engineering and engineering technology,91956
Canada,Earned doctorate,30 to 44 years,Male,Mathematics and computer and information science,97973
Canada,Earned doctorate,30 to 44 years,Male,Business and administration,122618
Canada,Earned doctorate,30 to 44 years,Male,Arts and humanities,76821
Canada,Earned doctorate,30 to 44 years,Male,Social and behavioural sciences,93530
Canada,Earned doctorate,30 to 44 years,Male,Legal professions and studies,119499
Canada,Earned doctorate,30 to 44 years,Male,Health care,79558
Canada,Earned doctorate,30 to 44 years,Male,Education and teaching,86959
Canada,Earned doctorate,30 to 44 years,Male,"Trades, services, natural resources and conservation",82109
Canada,Earned doctorate,45 to 59 years,Male,Science and science technology,113322
Canada,Earned doctorate,45 to 59 years,Male,Engineering and engineering technology,126273
